Place,Geo,Date,Source,Median Income
"Edgecomb town, Lincoln County,Maine",Town,1990,P080A STF3,$32670
"Edinburg town, Penobscot County,Maine",Town,1990,P080A STF3,$27000
"Eliot town, York County,Maine",Town,1990,P080A STF3,$38280
"Ellsworth city, Hancock County,Maine",Town,1990,P080A STF3,$23469
"Embden town, Somerset County,Maine",Town,1990,P080A STF3,$22619
"Enfield town, Penobscot County,Maine",Town,1990,P080A STF3,$28929
"Etna town, Penobscot County,Maine",Town,1990,P080A STF3,$24792
"Eustis town, Franklin County,Maine",Town,1990,P080A STF3,$23333
"Exeter town, Penobscot County,Maine",Town,1990,P080A STF3,$25119
"Fairfield town, Somerset County,Maine",Town,1990,P080A STF3,$26868
"Falmouth town, Cumberland County,Maine",Town,1990,P080A STF3,$44863
"Farmingdale town, Kennebec County,Maine",Town,1990,P080A STF3,$29861
"Farmington town, Franklin County,Maine",Town,1990,P080A STF3,$22328
"Fayette town, Kennebec County,Maine",Town,1990,P080A STF3,$28947
"Fort Fairfield town, Aroostook County,Maine",Town,1990,P080A STF3,$21429
"Fort Kent town, Aroostook County,Maine",Town,1990,P080A STF3,$24075
"Frankfort town, Waldo County,Maine",Town,1990,P080A STF3,$22163
"Franklin town, Hancock County,Maine",Town,1990,P080A STF3,$25417
"Freedom town, Waldo County,Maine",Town,1990,P080A STF3,$20694
"Freeport town, Cumberland County,Maine",Town,1990,P080A STF3,$37150
"Frenchboro town, Hancock County,Maine",Town,1990,P080A STF3,$16875
"Frenchville town, Aroostook County,Maine",Town,1990,P080A STF3,$29766
"Friendship town, Knox County,Maine",Town,1990,P080A STF3,$26176
"Fryeburg town, Oxford County,Maine",Town,1990,P080A STF3,$27071
"Gardiner city, Kennebec County,Maine",Town,1990,P080A STF3,$27330
"Garfield plantation, Aroostook County,Maine",Town,1990,P080A STF3,$35938
"Garland town, Penobscot County,Maine",Town,1990,P080A STF3,$21630
"Georgetown town, Sagadahoc County,Maine",Town,1990,P080A STF3,$28967
"Gilead town, Oxford County,Maine",Town,1990,P080A STF3,$20288
"Glenburn town, Penobscot County,Maine",Town,1990,P080A STF3,$32277
"Glenwood plantation, Aroostook County,Maine",Town,1990,P080A STF3,$5360
"Gorham town, Cumberland County,Maine",Town,1990,P080A STF3,$36618
"Gouldsboro town, Hancock County,Maine",Town,1990,P080A STF3,$24617
"Grand Isle town, Aroostook County,Maine",Town,1990,P080A STF3,$22647
"Grand Lake Stream plantation, Washington County,Maine",Town,1990,P080A STF3,$19000
"Gray town, Cumberland County,Maine",Town,1990,P080A STF3,$37705
"Great Pond town, Hancock County,Maine",Town,1990,P080A STF3,$30417
"Greenbush town, Penobscot County,Maine",Town,1990,P080A STF3,$25658
"Greene town, Androscoggin County,Maine",Town,1990,P080A STF3,$32897
"Greenfield town, Penobscot County,Maine",Town,1990,P080A STF3,$22500
"Greenville town, Piscataquis County,Maine",Town,1990,P080A STF3,$20417
"Greenwood town, Oxford County,Maine",Town,1990,P080A STF3,$26806
"Guilford town, Piscataquis County,Maine",Town,1990,P080A STF3,$21031
"Hallowell city, Kennebec County,Maine",Town,1990,P080A STF3,$31161
"Hamlin town, Aroostook County,Maine",Town,1990,P080A STF3,$20139
"Hammond town, Aroostook County,Maine",Town,1990,P080A STF3,$21875
"Hampden town, Penobscot County,Maine",Town,1990,P080A STF3,$32595
"Hancock town, Hancock County,Maine",Town,1990,P080A STF3,$23011
"Hanover town, Oxford County,Maine",Town,1990,P080A STF3,$33750
"Harmony town, Somerset County,Maine",Town,1990,P080A STF3,$17361
"Harpswell town, Cumberland County,Maine",Town,1990,P080A STF3,$33298
"Harrington town, Washington County,Maine",Town,1990,P080A STF3,$16758
"Harrison town, Cumberland County,Maine",Town,1990,P080A STF3,$29009
"Hartford town, Oxford County,Maine",Town,1990,P080A STF3,$29659
"Hartland town, Somerset County,Maine",Town,1990,P080A STF3,$23162
"Haynesville town, Aroostook County,Maine",Town,1990,P080A STF3,$26071
"Hebron town, Oxford County,Maine",Town,1990,P080A STF3,$31250
"Hermon town, Penobscot County,Maine",Town,1990,P080A STF3,$31935
"Hersey town, Aroostook County,Maine",Town,1990,P080A STF3,$18750
"Hibberts gore, Lincoln County,Maine",Town,1990,P080A STF3,$0
"Highland plantation, Somerset County,Maine",Town,1990,P080A STF3,$7875
"Hiram town, Oxford County,Maine",Town,1990,P080A STF3,$25152
"Hodgdon town, Aroostook County,Maine",Town,1990,P080A STF3,$21458
"Holden town, Penobscot County,Maine",Town,1990,P080A STF3,$31141
"Hollis town, York County,Maine",Town,1990,P080A STF3,$33658
"Hope town, Knox County,Maine",Town,1990,P080A STF3,$25787
"Houlton town, Aroostook County,Maine",Town,1990,P080A STF3,$20316
